NameMale
Zembrzuski
Cieluch
Barnaœ
Bigaj
Abramowicz
Chamera
Mendel
Koœcielny
Pastwa
Bartnik
Szynal
Krzempek
Barczyk
Chudzicki
Miœta
Woronowicz
Mariañski
Babik
Wierzba
Sieradzki
Wojciechowski
Momot
Motyl
Busz
Juszczak
Kopaczewski
Jêdrasik
Kopañski
Kubas
Bojda
Krzysztofik
Solak
£apka
Podleœny
Pištkowski
Michoñ
Tworkowski
Staszewski
Obara
Traczyk
Laskowski
Sambor
£agoda
Pilecki
Szady
Jarzêbski
Bia³kowski
Mroczka
Sad³owski
Pietrzykowski
Rybakowski
Jaszczyk
Górnicki
Kalisz
Ba³dyga
Gralewski
Gontarz
Szlendak
Bartoñ
Bêben
Grzegorski
Kubacki
Tarczyñski
Zarychta
Demianiuk
Ludwikowski
Bartecki
Stasiñski
Klimkowski
Gronowski
Mastalerz
Kotynia
S³omczyñski
Pieczara
S³awiñski
Wasik
Kasperowicz
Olak
Œlusarski
Laszczak
Gralak
Antkowiak
Szulik
Stachurski
Kijek
Mieczkowski
Zdybel
Adamik
Osuch
Bartosiewicz
Woroniecki
Lubczyñski
Grela
Goc
Nicpoñ
Motyka
Szych
Dziekañski
Gniazdowski
Skrzypiec
Pióro
Biedroñ
Kaczorek
Pustelnik
Wojciechowicz
Olczyk
Kucharek
Krawczyk
Waszak
Guzowski
Dragan
Fuks
Wolak
Ciok
Zubek
Formella
O¿ga
Skowron
Turek
Taras
Pestka
Za³oga
Latkowski
¯urek
Rek
Barcik
Uznañski
Kolenda
Suwa³a
Stefanek
Musialik
Nizio
Struk
Krzywdziñski
Adach
Michalewski
Dragon
Ku³ak
Gondek
Kapela
Lalik
Bieda
Sêk
Zamojski
Przyby³
Kufel
Œlšzak
Knapczyk
Sobieraj
Malesa
Jacek
Mi³ek
Gdula
Chrostek
Œwieboda
Paluszkiewicz
Denis
Biskup
Bochniak
Przygodzki
Têcza
G³os
Kocoñ
Smolak
Czarnota
Æwik
Foks
Œpiewak
Jeznach
Góralczyk
KuŸnicki
Szefler
Lipowski
£ubkowski
£ysak
Budka
Lewczuk
Majcher
Karoñ
Sroga
Gozdek
Szczupak
Danielewicz
Hyla
Wirkus
Jaguœ
Pieczykolan
Pyra
Skoczylas
Rdzanek
Jedliñski
Barski
Ciarkowski
Majchrowski
Olechowski
Cuper
Borawski
Jokiel
Pecyna
Gos³awski
Œwiêch
W³odek
Kubiak
Augustynowicz
Szerszeñ
Basiak
Piechowiak
Rozwadowski
Koby³ka
Dziêgielewski
Torba
Kijak
Danielski
Biela
JóŸwik
Kondej
Wojno
¯ydek
Smykowski
Walas
Gawroñski
Szymborski
Grodecki
Jarek
Weso³owski
Krajewski
Lechowski
Woszczyk
Buœko
Pasieka
Witecki
Maryniak
Formela
Baraniak
¯arski
Stalmach
Matuszczak
Chomicz
Szymczuk
Galant
Pietroñ
Budny
Stefañski
Fedorowicz
Kapa³a
Kaczmarzyk
Wypych
Nêdza
Paczyñski
Pawe³ek
Skotnicki
£yko
Krauze
Pilarczyk
Dro¿d¿yñski
Wantuch
Cieœlewicz
Radkiewicz
Szmit
Bujalski
Marczyk
Rajewski
Jedynak
Piekarczyk
Banaszczyk
Sienkiewicz
WoŸniakowski
